Documento  0 

Índice	 	Término		 TF	 IDF	 TF-IDF	
Doc4	0.006	0.004	0.055	0.026	1	0.03	0.009	0.004	0.005	0.02	0.031	0.013	0.104	0.144	0.014	0.01	0	0.159	0.119	0
Doc5	0.005	0.004	0	0	0.03	1	0.032	0.004	0.005	0.032	0	0.102	0.038	0.003	0.079	0.021	0	0.03	0.014	0.021
Doc6	0	0	0.062	0.006	0.009	0.032	1	0.016	0.066	0.022	0.021	0.015	0	0.004	0.042	0.032	0	0.062	0.017	0.016
Doc7	0.01	0.094	0.021	0.112	0.004	0.004	0.016	1	0.028	0.01	0	0.011	0.014	0.009	0.008	0.002	0.044	0.015	0.017	0.006
Doc8	0.012	0.009	0.042	0	0.005	0.005	0.066	0.028	1	0.031	0	0.004	0.15	0.004	0.023	0.003	0	0.006	0.036	0.076
Doc9	0.099	0.082	0.039	0	0.02	0.032	0.022	0.01	0.031	1	0	0.029	0.096	0.003	0.062	0.017	0	0.009	0.03	0.044
Doc10	0	0	0.138	0	0.031	0	0.021	0	0	0	1	0	0	0.025	0	0	0.077	0.046	0	0
Doc11	0.039	0.003	0.007	0.009	0.013	0.102	0.015	0.011	0.004	0.029	0	1	0.056	0.006	0.053	0.032	0	0.017	0.002	0.033
Doc12	0.112	0.077	0.041	0	0.104	0.038	0	0.014	0.15	0.096	0	0.056	1	0.007	0.053	0.005	0	0.104	0.035	0.129
Doc13	0.005	0.046	0.005	0.072	0.144	0.003	0.004	0.009	0.004	0.003	0.025	0.006	0.007	1	0.007	0	0.069	0.046	0.074	0
Doc14	0	0	0.008	0.01	0.014	0.079	0.042	0.008	0.023	0.062	0	0.053	0.053	0.007	1	0.026	0	0.013	0.014	0
Doc15	0.028	0.002	0.022	0	0.01	0.021	0.032	0.002	0.003	0.017	0	0.032	0.005	0	0.026	1	0.036	0.057	0.002	0.023
Doc16	0	0.053	0	0	0	0	0	0.044	0	0	0.077	0	0	0.069	0	0.036	1	0	0.016	0
Doc17	0.007	0.005	0.01	0.013	0.159	0.03	0.062	0.015	0.006	0.009	0.046	0.017	0.104	0.046	0.013	0.057	0	1	0.003	0.045
Doc18	0.007	0.021	0.011	0.019	0.119	0.014	0.017	0.017	0.036	0.03	0	0.002	0.035	0.074	0.014	0.002	0.016	0.003	1	0.005
Doc19	0.296	0.006	0.021	0	0	0.021	0.016	0.006	0.076	0.044	0	0.033	0.129	0	0	0.023	0	0.045	0.005	1
